,2013,2014,2015,2016
US,,0.0505973389772643,,
China,,,,
Russia,0.03010911869344094,-0.04205878262482036,-0.3653620470630936,-0.08323166082049718
Germany,0.059198673034575454,0.03383643383643384,-0.15276493724242757,0.02935809227885872
UK,,0.118446576577165,-0.05477628151972063,-0.10138883740470277
France,0.055838568697077304,0.016789874334646255,-0.15255735848816573,0.005186558482012175
Italy,0.04815007324103388,-0.011721215399873771,-0.14685019614998632,-0.048228201735038966
Iran,-0.24426877470355732,-0.151255230125523,-0.11313778654177964,0.3063739114322772
Israel,0.17378839590443687,0.03739241684112584,-0.018442737821626774,0.061393489434608796
Saudi Arabia,,,,
