,2012,2013,2014,2015,2016
US,8420.65813435646,8619.755140255804,9027.751569039257,9491.39835570376,9832.327288613302
China,288.3352644379375,333.3642752950537,366.7507165003995,394.48082729248404,404.3919298741899
Russia,761.2271241853343,811.6751952106334,741.9778043428357,501.12122490932666,469.1552993203743
Germany,4744.632827692668,5078.888055957916,5264.199055351464,4578.302311990884,4704.35047347274
UK,3484.9914364610527,4175.134986581416,4549.181621824409,4338.721661353789,3945.160011961175
France,4627.383130944877,4873.477734244907,4986.843917159655,4211.020058664702,4254.561577300118
Italy,3117.969136467343,3166.4369733825188,3189.74737921938,2711.81330025785,2740.423165739084
Iran,519.8187333923722,361.7855113884371,383.0708032991047,377.34143440929233,422.88350344258663
Israel,2322.8620188357245,2580.184874992245,2706.890465815451,2632.307490364077,2719.5179031125676
Saudi Arabia,1017.0747749537696,1113.4607932361214,1284.7697035441267,1243.6169762384072,1147.3032316864394
